ID,USER_NAME,FIRST,LAST,CREATED_DATE,STREET_ADDRESS,NUMBER,ZIPCODE,CITY,BIRTH_DATE,TYPE
1001,alice_w,Alice,Williams,2024-01-15 10:30,Maple St,A1,18101,Seattle,1990-01-15,SUBSCRIPTION
1002,bob_j,Bob,Johnson,2024-02-20 14:45,Oak St,B2,14102,San Francisco,1985-05-22,FREE
1003,carol_s,Carol,Smith,2024-03-10 09:15,Pine St,C3,10001,New York,1992-07-10,SUBSCRIPTION
1004,dave_b,Dave,Brown,2024-04-05 11:00,Cedar St,D4,10601,Chicago,1990-12-30,SUBSCRIPTION
1005,eve_d,Eve,Davis,2024-05-25 16:20,Birch St,E5,10001,Los Angeles,1988-03-19,FREE
1006,frank_m,Frank,Miller,2024-06-30 08:50,Spruce St,F6,17001,Houston,1995-04-25,FREE
1007,grace_h,Grace,Harris,2024-07-15 13:35,Elm St,G7,15001,Phoenix,1993-06-13,FREE
1008,henry_t,Henry,Taylor,2024-08-20 17:10,Walnut St,H8,19101,Philadelphia,1991-08-07,SUBSCRIPTION
1009,irene_m,Irene,Martinez,2024-09-05 12:25,Chestnut St,I9,15201,Dallas,1987-11-02,FREE
1010,jack_c,Jack,Clark,2024-10-10 15:40,Ash St,J10,10301,Atlanta,1994-09-15,FREE
1012,larry_w,Larry,Walker,2024-12-15 18:30,Willow St,L12,18101,Seattle,1992-03-25,FREE
1013,mary_h,Mary,Hall,2024-01-10 07:45,Fir St,M13,14102,San Francisco,1986-10-30,FREE
